",""X"",""algorithm"",""replicate"",""instance"",""group"",""result"""
1,1,6,1,6,-1
2,1,10,5,2,-1
3,1,14,66,16,-1
4,1,18,18,5,-1
5,1,22,132,31,-1
6,1,26,88,21,-1
7,1,30,103,24,-1
8,1,34,10,3,-1
9,1,38,98,23,-1
10,1,42,45,11,-1
11,1,46,48,11,-1
12,1,50,45,11,-1
13,1,54,23,6,-1
14,1,58,132,31,-1
15,1,62,130,30,-1
16,1,66,24,6,-1
17,1,70,148,34,-1
18,1,74,80,19,-1
19,1,78,84,20,-1
20,1,82,116,27,-1
21,1,86,79,19,-1
22,1,90,89,21,-1
23,1,94,116,27,-1
24,1,98,107,25,-1
25,1,102,97,23,-1
26,1,106,28,7,-1
27,1,110,117,27,-1
28,1,114,125,29,-1
29,1,118,53,13,-1
30,1,122,66,16,-1
31,1,126,108,25,-1
32,1,130,90,21,-1
33,1,134,138,32,-1
34,1,138,101,24,-1
1,2,6,1,6,-1
2,2,10,5,2,-1
3,2,14,66,16,-1
4,2,18,18,5,-1
5,2,22,132,31,-1
6,2,26,88,21,-1
7,2,30,103,24,-1
8,2,34,10,3,-1
9,2,38,98,23,-1
10,2,42,45,11,-1
11,2,46,48,11,-1
12,2,50,45,11,-1
13,2,54,23,6,-1
14,2,58,132,31,-1
15,2,62,130,30,-1
16,2,66,24,6,-1
17,2,70,148,34,-1
18,2,74,80,19,-1
19,2,78,84,20,-1
20,2,82,116,27,-1
21,2,86,79,19,-1
22,2,90,89,21,-1
23,2,94,116,27,-1
24,2,98,107,25,-1
25,2,102,97,23,-1
26,2,106,28,7,-1
27,2,110,117,27,-1
28,2,114,125,29,-1
29,2,118,53,13,-1
30,2,122,66,16,-1
31,2,126,108,25,-1
32,2,130,90,21,-1
33,2,134,138,32,-1
34,2,138,101,24,-1
